"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
0.25,1,0,0.5,0,0.833333333333333,0,0.5,0,0.333333333333333,0,0.416666666666667
0,1,0,0.666666666666667,0.166666666666667,0.833333333333333,0,0.666666666666667,0.142857142857143,0.5,0,0.333333333333333
0.25,1,0,0.166666666666667,0.142857142857143,1,0.1,0.75,0,0.0833333333333333,0,0.333333333333333
0,1,0.333333333333333,0.666666666666667,0,0.666666666666667,0.1,0.75,0.555555555555556,0.333333333333333,0.333333333333333,0.583333333333333
0.142857142857143,1,0.142857142857143,1,0,0.666666666666667,0.3,0.583333333333333,0.25,0.25,0.142857142857143,0.5
0,0.833333333333333,0,0.666666666666667,0,0.666666666666667,0,0.75,0,0.416666666666667,0,0.583333333333333
0,1,0,1,0,0.5,0,0.583333333333333,0,0.333333333333333,0,0.75
0,1,0,0.833333333333333,0,0.666666666666667,0,0.5,0,0.166666666666667,0,0.666666666666667
0,1,0,0.5,0.375,0.833333333333333,0,0.25,0.333333333333333,0.166666666666667,0,0.416666666666667
0.142857142857143,1,0,0.666666666666667,0,0.833333333333333,0,0.416666666666667,0.333333333333333,0.333333333333333,0,0.583333333333333
0.142857142857143,1,0,0.666666666666667,0.333333333333333,0.666666666666667,0,0.5,0,0.25,0,0.583333333333333
0.166666666666667,0.833333333333333,0,0.666666666666667,0.166666666666667,0.833333333333333,0,0.583333333333333,0.166666666666667,0.416666666666667,0,0.583333333333333
0.142857142857143,1,0,0.666666666666667,0,0.666666666666667,0.125,0.583333333333333,0.428571428571429,0.333333333333333,0,0.333333333333333
0,1,0,0.5,0,1,0,0.583333333333333,0,0.5,0,0.5
0.166666666666667,0.833333333333333,0,0.5,0,0.666666666666667,0.166666666666667,0.416666666666667,0,0.25,0,0.583333333333333
0.142857142857143,1,0,0.833333333333333,0,1,0,0.416666666666667,0,0.333333333333333,0,0.666666666666667
0,1,0,1,0,0.833333333333333,0,0.5,1,0,0,0.583333333333333
0,0.833333333333333,0,1,0,0.833333333333333,0,0.333333333333333,0,0.25,0,0.5
0.25,1,0,0.666666666666667,0,0.833333333333333,0,0.666666666666667,0,0.166666666666667,0,0.5
0,0.833333333333333,0,0.5,0,1,0,0.833333333333333,0,0.416666666666667,0,0.666666666666667
0,1,0,0.666666666666667,0,0.833333333333333,0,0.5,0,0.25,0,0.583333333333333
0,1,0.333333333333333,0.333333333333333,0.4,1,0,0.583333333333333,0,0.166666666666667,0.333333333333333,0.416666666666667
0.142857142857143,1,0.333333333333333,0.666666666666667,0,0.833333333333333,0.357142857142857,0.75,0,0.166666666666667,0.333333333333333,0.5
0.25,1,0.333333333333333,0.666666666666667,0,0.666666666666667,0.333333333333333,0.666666666666667,0,0.416666666666667,0.333333333333333,0.416666666666667
0,1,0,0.666666666666667,0,0.833333333333333,0.142857142857143,0.5,0,0.0833333333333333,0,0.583333333333333
0.166666666666667,0.833333333333333,0,0.333333333333333,0,0.833333333333333,0.181818181818182,0.75,0,0.0833333333333333,0,0.583333333333333
0,0.833333333333333,0,0.666666666666667,0.2,0.666666666666667,0,0.583333333333333,0,0.416666666666667,0,0.5
0.166666666666667,0.833333333333333,0,0.5,0,0.666666666666667,0.272727272727273,0.666666666666667,0,0.25,0,0.5
0,0.833333333333333,0,0.833333333333333,0,1,0,0.833333333333333,0,0.166666666666667,0,0.666666666666667
0,0.833333333333333,0,0.666666666666667,0,0.833333333333333,0.25,0.75,0,0.0833333333333333,0,0.5
0,1,0,0.833333333333333,0.2,0.666666666666667,0,0.166666666666667,0.5,0.0833333333333333,0,0.666666666666667
0.142857142857143,1,0,0.666666666666667,0.6,0.666666666666667,0.25,0.75,0,0.0833333333333333,0,0.666666666666667
0.4,1,0,0.5,0,0.666666666666667,0,0.25,0.333333333333333,0.666666666666667,0,0.5
