"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
0,0.333333333333333,0.2,0.666666666666667,0,0.666666666666667,0.181818181818182,0.75,0,0.25,0.2,0.666666666666667
0.285714285714286,0.833333333333333,0,0.333333333333333,0.142857142857143,1,0.1,0.75,0.2,0.333333333333333,0,0.583333333333333
0,0.833333333333333,0,0.666666666666667,0,0.833333333333333,0.272727272727273,0.666666666666667,0,0.0833333333333333,0,0.583333333333333
0,1,0.5,0.166666666666667,0,1,0,0.833333333333333,0,0.25,0.5,0.5
0.166666666666667,0.833333333333333,0,0.5,0,0.833333333333333,0.214285714285714,0.916666666666667,0,0.166666666666667,0,0.25
0.142857142857143,1,0,0.333333333333333,0.333333333333333,0.666666666666667,0,0.666666666666667,0,0.25,0,0.666666666666667
0,1,0,0.333333333333333,0.25,0.5,0,0.833333333333333,0,0.0833333333333333,0,0.5
0.333333333333333,1,0,0.5,0.583333333333333,0.833333333333333,0,0.583333333333333,0,0.166666666666667,0,0.5
0,1,0,0.666666666666667,0.2,0.666666666666667,0.2,0.666666666666667,0,0.166666666666667,0,0.666666666666667
0.142857142857143,1,0.285714285714286,0.833333333333333,0.142857142857143,1,0.0909090909090909,0.833333333333333,0,0.25,0.285714285714286,0.416666666666667
0.142857142857143,1,0,0.5,0,0.833333333333333,0,0.333333333333333,0,0.25,0,0.416666666666667
0,1,0,0.666666666666667,0,0.833333333333333,0,0.416666666666667,0.166666666666667,0.416666666666667,0,0.583333333333333
0,0.666666666666667,0.166666666666667,0.833333333333333,0,1,0.166666666666667,0.416666666666667,0.166666666666667,0.416666666666667,0.166666666666667,0.5
0,0.833333333333333,0,0.5,0.166666666666667,0.833333333333333,0,0.583333333333333,0,0.166666666666667,0,0.666666666666667
0.333333333333333,1,0,0.666666666666667,0,0.833333333333333,0.0909090909090909,0.833333333333333,0.25,0.25,0,0.333333333333333
0,1,0,0.333333333333333,0,1,0.166666666666667,0.833333333333333,0,0.333333333333333,0,0.583333333333333
0,0.833333333333333,0,0.833333333333333,0,1,0.230769230769231,0.833333333333333,0.2,0.333333333333333,0,0.5
0,0.833333333333333,0,0.666666666666667,0.166666666666667,0.833333333333333,0,0.5,0,0.166666666666667,0,0.416666666666667
0.5,0.833333333333333,0,0.833333333333333,0,0.833333333333333,0.0909090909090909,0.833333333333333,0,0.25,0,0.333333333333333
0,1,0.583333333333333,0.833333333333333,0,0.5,0.166666666666667,0.416666666666667,0,0.25,0.583333333333333,0.5
0.454545454545455,1,0,0.5,0,0.666666666666667,0.142857142857143,0.5,0,0.166666666666667,0,0.666666666666667
0.25,1,0.25,0.5,0,0.833333333333333,0,0.333333333333333,0,0.25,0.25,0.583333333333333
0,1,0,0.833333333333333,0,0.5,0.181818181818182,0.75,0.5,0.0833333333333333,0,0.833333333333333
0.4,1,0.285714285714286,0.833333333333333,0.166666666666667,0.833333333333333,0,0.583333333333333,0,0.0833333333333333,0.285714285714286,0.666666666666667
0,1,0,0.5,0,0.833333333333333,0,0.5,0.166666666666667,0.416666666666667,0,0.5
0.166666666666667,0.833333333333333,0,0.833333333333333,0,0.666666666666667,0,0.833333333333333,0,0.333333333333333,0,0.583333333333333
0,1,0,0.833333333333333,0,0.666666666666667,0.1,0.75,0,0.333333333333333,0,0.416666666666667
0,1,0,0.666666666666667,0,1,0.3,0.583333333333333,0,0.25,0,0.583333333333333
0,1,0.166666666666667,0.833333333333333,0,1,0,0.5,0,0.25,0.166666666666667,0.583333333333333
0,0.666666666666667,0,0.666666666666667,0.142857142857143,1,0,0.416666666666667,0,0.0833333333333333,0,0.333333333333333
0,0.833333333333333,0,0.333333333333333,0.2,0.666666666666667,0.166666666666667,0.416666666666667,0.285714285714286,0.416666666666667,0,0.416666666666667
0,1,0.166666666666667,0.833333333333333,0.25,1,0.166666666666667,0.833333333333333,0.142857142857143,0.5,0.166666666666667,0.5
0.142857142857143,1,0,0.833333333333333,0.142857142857143,1,0.181818181818182,0.75,0,0.166666666666667,0,0.416666666666667
0,0.833333333333333,0,0.5,0,0.666666666666667,0,0.583333333333333,0,0.333333333333333,0,0.583333333333333
0,1,0.428571428571429,0.666666666666667,0.166666666666667,0.833333333333333,0,0.5,0,0.0833333333333333,0.428571428571429,0.5
0,0.666666666666667,0,0.333333333333333,0.571428571428571,1,0,0.666666666666667,0,0.166666666666667,0,0.333333333333333
0,0.833333333333333,0,0.833333333333333,0,1,0,0.5,0.333333333333333,0.166666666666667,0,0.666666666666667
0,0.833333333333333,0,0.666666666666667,0,0.833333333333333,0,0.5,0,0.333333333333333,0,0.416666666666667
0,0.833333333333333,0,0.666666666666667,0,0.666666666666667,0,0.416666666666667,0,0.0833333333333333,0,0.666666666666667
0,0.833333333333333,0,0.166666666666667,0.25,1,0,0.583333333333333,0,0.166666666666667,0,0.5
0.4,0.5,0,0.666666666666667,0,0.833333333333333,0,0.5,0,0.0833333333333333,0,0.166666666666667
0.142857142857143,1,0.166666666666667,0.833333333333333,0,1,0,0.75,0,0.416666666666667,0.166666666666667,0.5
0.142857142857143,1,0.142857142857143,1,0.142857142857143,1,0,0.583333333333333,0,0.416666666666667,0.142857142857143,0.5
0,1,0.2,0.666666666666667,0,0.666666666666667,0.1,0.75,0.4,0.5,0.2,0.666666666666667
0,1,0,0.666666666666667,0.333333333333333,0.666666666666667,0,0.25,0,0.25,0,0.5
0,0.666666666666667,0,0.333333333333333,0,0.5,0,0.333333333333333,0.2,0.333333333333333,0,0.583333333333333
0,0.833333333333333,0,0.166666666666667,0.2,0.666666666666667,0.272727272727273,0.666666666666667,0,0.25,0,0.583333333333333
0,1,0,0.666666666666667,0,0.833333333333333,0,0.666666666666667,0.125,0.583333333333333,0,0.583333333333333
0.142857142857143,1,0,0.666666666666667,0,0.666666666666667,0.214285714285714,0.916666666666667,0.142857142857143,0.5,0,0.75
0,0.833333333333333,0,0.333333333333333,0,0.833333333333333,0.0909090909090909,0.833333333333333,0.333333333333333,0.166666666666667,0,0.416666666666667
0,1,0.333333333333333,1,0,0.833333333333333,0,0.75,0.125,0.583333333333333,0.333333333333333,0.416666666666667
0,1,0.333333333333333,0.666666666666667,0,0.5,0,0.25,0.333333333333333,0.166666666666667,0.333333333333333,0.583333333333333
0,1,0,0.666666666666667,0,0.666666666666667,0,0.416666666666667,0,0.0833333333333333,0,0.583333333333333
0.2,0.666666666666667,0.4,0.5,0,0.833333333333333,0,0.5,0,0.0833333333333333,0.4,0.583333333333333
0,1,0,0.5,0,0.833333333333333,0,0.583333333333333,0.25,0.25,0,0.583333333333333
0.166666666666667,0.833333333333333,0,0.666666666666667,0.4,1,0.153846153846154,0.916666666666667,0,0.333333333333333,0,0.416666666666667
0,0.833333333333333,0,0.666666666666667,0,0.5,0.230769230769231,0.833333333333333,0,0.166666666666667,0,0.5
0,0.833333333333333,0,0.666666666666667,0.142857142857143,1,0,0.25,0,0.25,0,0.75
0,0.666666666666667,0,0.5,0,0.666666666666667,0.285714285714286,0.416666666666667,0.25,0.25,0,0.333333333333333
0,1,0,1,0,0.833333333333333,0.166666666666667,0.833333333333333,0.333333333333333,0.333333333333333,0,0.666666666666667
0.142857142857143,1,0,0.833333333333333,0,0.833333333333333,0,0.583333333333333,0.2,0.333333333333333,0,0.416666666666667
0,1,0,0.666666666666667,0.25,0.5,0,0.416666666666667,0.272727272727273,0.666666666666667,0,0.5
0.25,1,0.166666666666667,0.833333333333333,0.25,1,0,0.666666666666667,0.416666666666667,0.583333333333333,0.166666666666667,0.583333333333333
0.166666666666667,0.833333333333333,0,0.666666666666667,0,0.833333333333333,0.181818181818182,0.75,0.666666666666667,0.0833333333333333,0,0.5
0,0.333333333333333,0.25,0.5,0,0.833333333333333,0,0.916666666666667,0,0.5,0.25,0.666666666666667
0,1,0.6,0.333333333333333,0.166666666666667,0.833333333333333,0.181818181818182,0.75,0.142857142857143,0.5,0.6,0.666666666666667
0,1,0,0.666666666666667,0,0.5,0,0.5,0.25,0.25,0,0.583333333333333
